年齡,工作,婚姻,學歷,聯絡方式,最後聯絡時間,聯絡次數,消費價格指數,消費信心指數,訂購
30.0,學生,未知,國中,手機,155.0,1,92.89299999999999,-46.2,偶爾
55.0,藍領,已婚,小學,手機,395.0,4,93.91799999999999,-42.7,頻繁
29.0,主管,已婚,高中,手機,126.0,3,93.91799999999999,-42.7,從未
40.0,藍領,已婚,國中,手機,246.0,1,92.89299999999999,-46.2,一次
40.0,服務業,已婚,未知,市話,99.0,26,94.465,-41.8,頻繁
27.0,主管,已婚,大學,手機,99.0,6,92.469,-33.6,偶爾
37.0,技術員,已婚,高中,手機,102.0,6,92.89299999999999,-46.2,從未
56.0,藍領,已婚,小學,市話,20.0,2,93.994,-36.4,偶爾
49.0,技術員,已婚,專科,市話,10.0,14,94.465,-41.8,一次
53.0,主管,單身,大學,市話,122.0,2,93.994,-36.4,一次
35.0,主管,單身,國中,市話,613.0,1,94.465,-41.8,偶爾
31.0,技術員,已婚,專科,手機,409.0,2,93.444,-36.1,一次
57.0,藍領,已婚,小學,市話,19.0,4,94.465,-41.8,從未
25.0,主管,單身,大學,手機,420.0,1,92.37899999999999,-29.8,一次
52.0,經理,離婚,大學,市話,167.0,1,94.465,-41.8,頻繁
58.0,藍領,已婚,小學,手機,265.0,3,93.91799999999999,-42.7,從未
55.0,退休,已婚,國中,市話,554.0,3,93.91799999999999,-42.7,一次
34.0,主管,已婚,大學,手機,80.0,3,93.444,-36.1,偶爾
33.0,主管,離婚,高中,手機,191.0,1,93.91799999999999,-42.7,頻繁
41.0,技術員,已婚,大學,手機,272.0,1,93.075,-47.1,一次
38.0,藍領,單身,小學,手機,203.0,2,92.89299999999999,-46.2,一次
47.0,藍領,已婚,小學,手機,105.0,1,93.2,-42.0,從未
59.0,技術員,離婚,國中,手機,85.0,13,93.91799999999999,-42.7,頻繁
59.0,經理,已婚,小學,手機,165.0,4,92.89299999999999,-46.2,一次
51.0,主管,已婚,專科,手機,108.0,1,93.91799999999999,-42.7,從未
59.0,藍領,已婚,國中,市話,166.0,1,93.994,-36.4,一次
46.0,藍領,已婚,小學,手機,131.0,2,93.444,-36.1,一次
19.0,學生,單身,未知,手機,72.0,4,93.075,-47.1,頻繁
41.0,服務業,單身,高中,手機,264.0,2,93.075,-47.1,頻繁
45.0,藍領,已婚,國中,市話,135.0,1,94.465,-41.8,一次
26.0,主管,單身,大學,手機,355.0,1,94.199,-37.5,偶爾
37.0,經理,已婚,大學,手機,168.0,2,93.444,-36.1,一次
66.0,家管,離婚,小學,手機,201.0,1,93.369,-34.8,一次
58.0,服務業,已婚,高中,市話,136.0,13,94.465,-41.8,一次
47.0,經理,已婚,大學,手機,141.0,3,93.2,-42.0,偶爾
44.0,主管,已婚,高中,市話,177.0,1,93.994,-36.4,偶爾
28.0,技術員,單身,專科,市話,58.0,2,92.84299999999999,-50.0,從未
43.0,家管,已婚,小學,市話,365.0,4,93.994,-36.4,頻繁
42.0,藍領,已婚,小學,手機,179.0,2,93.075,-47.1,從未
47.0,技術員,已婚,高中,手機,148.0,2,93.075,-47.1,偶爾
37.0,藍領,已婚,國中,手機,247.0,3,93.91799999999999,-42.7,頻繁
40.0,服務業,離婚,高中,市話,456.0,1,93.994,-36.4,偶爾
33.0,技術員,單身,專科,手機,94.0,1,93.444,-36.1,頻繁
32.0,服務業,已婚,高中,市話,628.0,2,92.89299999999999,-46.2,頻繁
53.0,主管,已婚,國中,市話,548.0,1,93.994,-36.4,一次
37.0,主管,已婚,高中,手機,56.0,3,93.91799999999999,-42.7,偶爾
60.0,主管,已婚,未知,手機,762.0,1,93.876,-40.0,頻繁
48.0,主管,離婚,大學,手機,544.0,1,94.027,-38.3,偶爾
35.0,服務業,單身,高中,市話,523.0,1,93.994,-36.4,頻繁
22.0,藍領,單身,未知,手機,228.0,3,93.91799999999999,-42.7,偶爾
53.0,退休,已婚,國中,手機,58.0,2,93.91799999999999,-42.7,頻繁
59.0,技術員,單身,專科,手機,246.0,2,93.2,-42.0,從未
40.0,技術員,已婚,大學,手機,392.0,4,93.444,-36.1,頻繁
50.0,藍領,單身,小學,市話,381.0,7,93.91799999999999,-42.7,頻繁
49.0,服務業,已婚,小學,手機,106.0,2,93.2,-42.0,從未
53.0,經理,已婚,大學,手機,244.0,2,93.2,-42.0,從未
29.0,主管,已婚,高中,手機,315.0,2,92.89299999999999,-46.2,從未
28.0,服務業,已婚,高中,手機,378.0,1,93.91799999999999,-42.7,偶爾
26.0,退休,單身,高中,手機,508.0,1,92.963,-40.8,一次
39.0,技術員,已婚,專科,市話,75.0,3,93.994,-36.4,從未
47.0,主管,離婚,大學,手機,40.0,1,93.075,-47.1,偶爾
30.0,技術員,已婚,專科,市話,265.0,1,93.994,-36.4,偶爾
32.0,藍領,已婚,小學,手機,419.0,2,93.91799999999999,-42.7,從未
34.0,服務業,單身,高中,市話,29.0,16,93.91799999999999,-42.7,頻繁
36.0,藍領,已婚,國中,市話,136.0,1,93.994,-36.4,一次
46.0,藍領,已婚,小學,手機,127.0,1,92.89299999999999,-46.2,從未
30.0,主管,已婚,專科,手機,80.0,1,92.963,-40.8,頻繁
47.0,無業,已婚,專科,手機,100.0,1,93.444,-36.1,從未
34.0,自僱人士,已婚,高中,手機,107.0,1,92.89299999999999,-46.2,一次
43.0,主管,離婚,大學,手機,1502.0,1,93.2,-42.0,從未
40.0,技術員,已婚,國中,市話,389.0,6,94.465,-41.8,偶爾
45.0,主管,已婚,高中,市話,103.0,4,93.994,-36.4,一次
57.0,企業家,已婚,高中,手機,199.0,2,93.2,-42.0,偶爾
42.0,經理,已婚,大學,市話,168.0,8,94.465,-41.8,一次
31.0,無業,已婚,國中,手機,201.0,3,92.89299999999999,-46.2,偶爾
39.0,企業家,已婚,國中,手機,531.0,2,92.37899999999999,-29.8,偶爾
43.0,技術員,已婚,國中,市話,246.0,2,94.465,-41.8,偶爾
35.0,主管,已婚,大學,市話,466.0,2,94.465,-41.8,從未
54.0,自僱人士,已婚,專科,市話,252.0,2,93.994,-36.4,頻繁
26.0,主管,已婚,高中,市話,1021.0,1,94.465,-41.8,一次
32.0,藍領,已婚,國中,手機,59.0,1,93.91799999999999,-42.7,偶爾
52.0,技術員,已婚,專科,手機,402.0,2,93.91799999999999,-42.7,從未
45.0,主管,已婚,高中,市話,55.0,1,93.91799999999999,-42.7,從未
46.0,主管,離婚,高中,市話,233.0,4,93.994,-36.4,從未
48.0,無業,已婚,專科,市話,360.0,1,93.876,-40.0,偶爾
33.0,主管,已婚,大學,手機,82.0,3,92.89299999999999,-46.2,一次
51.0,藍領,離婚,未知,市話,339.0,2,94.465,-41.8,從未
53.0,服務業,已婚,國中,手機,79.0,1,93.444,-36.1,從未
35.0,藍領,已婚,國中,市話,220.0,1,93.994,-36.4,一次
36.0,技術員,已婚,專科,手機,84.0,2,93.91799999999999,-42.7,偶爾
52.0,主管,離婚,高中,手機,110.0,1,92.89299999999999,-46.2,從未
43.0,經理,已婚,大學,市話,49.0,2,93.2,-42.0,偶爾
35.0,未知,已婚,國中,市話,129.0,2,93.994,-36.4,偶爾
24.0,服務業,單身,高中,手機,355.0,1,94.215,-40.3,從未
31.0,主管,單身,高中,手機,439.0,1,92.89299999999999,-46.2,從未
46.0,主管,單身,大學,手機,311.0,5,93.444,-36.1,一次
28.0,藍領,單身,國中,市話,550.0,1,94.465,-41.8,偶爾
36.0,技術員,已婚,高中,手機,630.0,6,93.444,-36.1,一次
29.0,技術員,已婚,大學,手機,189.0,1,93.91799999999999,-42.7,偶爾
59.0,退休,已婚,小學,手機,555.0,1,93.444,-36.1,頻繁
43.0,藍領,已婚,國中,手機,24.0,3,93.91799999999999,-42.7,頻繁
33.0,技術員,離婚,專科,市話,44.0,1,93.994,-36.4,一次
42.0,自僱人士,已婚,高中,手機,77.0,3,93.2,-42.0,偶爾
54.0,主管,已婚,大學,市話,291.0,2,94.465,-41.8,頻繁
43.0,技術員,離婚,專科,手機,87.0,3,93.91799999999999,-42.7,偶爾
26.0,技術員,單身,高中,手機,894.0,7,93.91799999999999,-42.7,從未
31.0,學生,單身,大學,手機,508.0,1,94.601,-49.5,一次
42.0,自僱人士,已婚,大學,市話,1088.0,14,93.91799999999999,-42.7,從未
30.0,主管,單身,大學,手機,118.0,1,93.444,-36.1,從未
53.0,主管,已婚,高中,手機,99.0,6,94.215,-40.3,從未
82.0,退休,已婚,高中,手機,135.0,3,93.876,-40.0,頻繁
35.0,藍領,單身,國中,手機,134.0,2,92.89299999999999,-46.2,頻繁
32.0,服務業,已婚,高中,市話,535.0,2,93.994,-36.4,頻繁
44.0,主管,離婚,高中,市話,800.0,1,93.994,-36.4,從未
54.0,主管,已婚,大學,手機,121.0,2,93.91799999999999,-42.7,頻繁
82.0,退休,單身,小學,手機,251.0,2,92.431,-26.9,頻繁
29.0,主管,單身,大學,手機,156.0,2,93.91799999999999,-42.7,頻繁
57.0,無業,已婚,小學,手機,284.0,1,92.963,-40.8,一次
33.0,技術員,單身,專科,手機,425.0,1,94.199,-37.5,一次
31.0,服務業,單身,高中,手機,1298.0,2,92.89299999999999,-46.2,一次
49.0,主管,已婚,高中,手機,194.0,2,93.444,-36.1,偶爾
45.0,主管,已婚,大學,市話,134.0,2,93.994,-36.4,偶爾
36.0,藍領,已婚,國中,市話,11.0,18,94.465,-41.8,偶爾
35.0,技術員,單身,大學,手機,516.0,1,94.055,-39.8,從未
51.0,企業家,單身,國中,手機,89.0,1,92.89299999999999,-46.2,偶爾
52.0,自僱人士,離婚,大學,市話,258.0,3,92.89299999999999,-46.2,一次
30.0,無業,單身,專科,手機,341.0,1,93.369,-34.8,一次
39.0,企業家,已婚,專科,手機,291.0,2,93.2,-42.0,一次
46.0,服務業,已婚,國中,手機,59.0,5,93.444,-36.1,頻繁
33.0,主管,已婚,高中,市話,125.0,1,93.994,-36.4,一次
35.0,藍領,已婚,國中,手機,263.0,1,92.89299999999999,-46.2,偶爾
37.0,服務業,已婚,高中,市話,112.0,1,93.994,-36.4,偶爾
39.0,無業,離婚,大學,手機,307.0,1,93.444,-36.1,頻繁
23.0,主管,單身,高中,市話,331.0,1,94.215,-40.3,一次
43.0,服務業,已婚,國中,手機,158.0,1,93.2,-42.0,一次
33.0,主管,單身,大學,手機,35.0,3,93.444,-36.1,偶爾
58.0,主管,已婚,未知,市話,158.0,5,94.465,-41.8,從未
48.0,主管,單身,大學,手機,210.0,2,93.2,-42.0,從未
37.0,主管,單身,大學,市話,179.0,3,94.465,-41.8,頻繁
36.0,主管,已婚,大學,手機,40.0,2,93.2,-42.0,從未
33.0,服務業,已婚,小學,市話,202.0,4,93.994,-36.4,從未
57.0,家管,已婚,小學,手機,105.0,1,93.2,-42.0,頻繁
50.0,主管,已婚,高中,市話,144.0,1,94.465,-41.8,從未
48.0,經理,已婚,國中,手機,725.0,1,92.89299999999999,-46.2,一次
47.0,經理,已婚,大學,手機,283.0,2,93.2,-42.0,偶爾
52.0,主管,離婚,大學,市話,197.0,1,93.994,-36.4,偶爾
47.0,技術員,單身,專科,市話,148.0,5,93.994,-36.4,從未
35.0,主管,已婚,高中,市話,157.0,2,93.994,-36.4,從未
58.0,退休,已婚,專科,手機,244.0,2,93.444,-36.1,偶爾
53.0,主管,已婚,國中,市話,116.0,1,94.465,-41.8,偶爾
42.0,技術員,已婚,專科,手機,21.0,6,93.2,-42.0,從未
47.0,服務業,已婚,高中,市話,178.0,2,93.994,-36.4,頻繁
51.0,自僱人士,已婚,國中,市話,162.0,2,93.994,-36.4,從未
55.0,藍領,已婚,小學,手機,63.0,2,93.91799999999999,-42.7,從未
37.0,無業,已婚,大學,市話,354.0,2,92.89299999999999,-46.2,偶爾
37.0,企業家,已婚,國中,市話,50.0,1,94.465,-41.8,一次
50.0,自僱人士,已婚,國中,手機,287.0,1,92.89299999999999,-46.2,偶爾
37.0,主管,單身,大學,市話,355.0,2,93.994,-36.4,一次
36.0,經理,已婚,大學,手機,164.0,2,92.89299999999999,-46.2,偶爾
47.0,藍領,已婚,專科,手機,175.0,1,92.469,-33.6,一次
32.0,藍領,已婚,國中,市話,255.0,2,93.994,-36.4,從未
25.0,家管,已婚,國中,市話,152.0,1,94.465,-41.8,一次
25.0,主管,已婚,高中,市話,4.0,2,93.994,-36.4,偶爾
60.0,退休,已婚,專科,市話,280.0,5,93.994,-36.4,從未
25.0,藍領,單身,國中,手機,111.0,1,93.91799999999999,-42.7,一次
49.0,藍領,已婚,國中,市話,281.0,1,93.994,-36.4,從未
48.0,藍領,已婚,專科,市話,140.0,1,93.994,-36.4,一次
49.0,藍領,已婚,國中,市話,1036.0,1,93.994,-36.4,一次
40.0,技術員,已婚,高中,手機,105.0,1,93.444,-36.1,頻繁
37.0,經理,已婚,大學,手機,149.0,1,93.444,-36.1,偶爾
56.0,主管,已婚,大學,手機,569.0,1,93.91799999999999,-42.7,從未
33.0,技術員,單身,大學,手機,131.0,11,93.444,-36.1,一次
28.0,服務業,已婚,高中,手機,177.0,1,93.91799999999999,-42.7,頻繁
30.0,技術員,已婚,大學,手機,103.0,1,93.075,-47.1,偶爾
31.0,技術員,已婚,專科,市話,154.0,4,93.994,-36.4,從未
53.0,未知,已婚,專科,手機,217.0,2,92.963,-40.8,從未
46.0,主管,單身,大學,手機,62.0,7,93.91799999999999,-42.7,一次
28.0,主管,單身,高中,手機,87.0,6,93.91799999999999,-42.7,頻繁
40.0,服務業,已婚,高中,市話,40.0,1,94.465,-41.8,頻繁
49.0,服務業,已婚,高中,手機,241.0,1,93.444,-36.1,一次
54.0,家管,離婚,小學,手機,179.0,2,93.91799999999999,-42.7,一次
36.0,主管,單身,高中,手機,245.0,5,93.075,-47.1,頻繁
37.0,主管,已婚,大學,市話,309.0,4,93.075,-47.1,頻繁
30.0,技術員,單身,專科,手機,144.0,1,92.89299999999999,-46.2,從未
36.0,技術員,已婚,大學,市話,648.0,1,93.994,-36.4,一次
38.0,自僱人士,單身,大學,市話,104.0,1,93.994,-36.4,偶爾
50.0,企業家,已婚,專科,市話,155.0,2,93.91799999999999,-42.7,從未
26.0,經理,單身,大學,市話,72.0,3,94.465,-41.8,一次
40.0,退休,已婚,小學,手機,1689.0,2,93.91799999999999,-42.7,頻繁
36.0,藍領,已婚,國中,手機,265.0,1,92.89299999999999,-46.2,頻繁
46.0,藍領,已婚,小學,市話,196.0,2,94.465,-41.8,從未
59.0,退休,已婚,專科,市話,435.0,4,94.465,-41.8,一次
35.0,藍領,已婚,國中,手機,574.0,1,93.91799999999999,-42.7,頻繁
32.0,主管,已婚,大學,手機,88.0,5,92.20100000000001,-31.4,頻繁
39.0,服務業,離婚,國中,市話,93.0,1,93.994,-36.4,一次
29.0,技術員,已婚,專科,市話,35.0,1,93.994,-36.4,頻繁
57.0,主管,離婚,未知,市話,28.0,19,94.465,-41.8,偶爾
30.0,主管,單身,大學,手機,82.0,2,92.89299999999999,-46.2,偶爾
49.0,藍領,已婚,小學,市話,504.0,1,93.994,-36.4,從未
29.0,技術員,單身,高中,手機,29.0,2,93.444,-36.1,頻繁
56.0,退休,已婚,國中,手機,39.0,4,93.444,-36.1,頻繁
33.0,技術員,單身,大學,手機,134.0,6,93.444,-36.1,偶爾
34.0,主管,單身,高中,市話,78.0,4,93.994,-36.4,從未
60.0,退休,已婚,小學,市話,557.0,2,93.994,-36.4,從未
